index,time,A,B,C
12300.0,9.840328010933697e-06,-196.8503937007874,1181.1023622047244,0.0
12301.0,9.841128037601252e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12302.0,9.84192806426881e-06,-196.8503937007874,1220.4724409448818,0.0
12303.0,9.842728090936364e-06,-196.8503937007874,1220.4724409448818,0.0
12304.0,9.84352811760392e-06,-196.8503937007874,1181.1023622047244,0.0
12305.0,9.844328144271476e-06,-196.8503937007874,1141.732283464567,-39.37007874015748
12306.0,9.845128170939031e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12307.0,9.845928197606586e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12308.0,9.846728224274141e-06,-196.8503937007874,1181.1023622047244,0.0
12309.0,9.847528250941698e-06,-236.2204724409449,1181.1023622047244,-39.37007874015748
12310.0,9.848328277609253e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12311.0,9.849128304276808e-06,-196.8503937007874,1181.1023622047244,0.0
12312.0,9.849928330944365e-06,-196.8503937007874,1141.732283464567,0.0
12313.0,9.85072835761192e-06,-196.8503937007874,1141.732283464567,-39.37007874015748
12314.0,9.851528384279475e-06,-236.2204724409449,1181.1023622047244,0.0
12315.0,9.852328410947032e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12316.0,9.853128437614587e-06,-236.2204724409449,1220.4724409448818,0.0
12317.0,9.853928464282142e-06,-236.2204724409449,1141.732283464567,-39.37007874015748
12318.0,9.854728490949697e-06,-236.2204724409449,1141.732283464567,0.0
12319.0,9.855528517617254e-06,-236.2204724409449,1220.4724409448818,0.0
12320.0,9.856328544284809e-06,-196.8503937007874,1181.1023622047244,0.0
12321.0,9.857128570952364e-06,-275.59055118110234,1181.1023622047244,39.37007874015748
12322.0,9.857928597619921e-06,-236.2204724409449,1181.1023622047244,0.0
12323.0,9.858728624287476e-06,-236.2204724409449,1220.4724409448818,-39.37007874015748
12324.0,9.859528650955031e-06,-236.2204724409449,1220.4724409448818,-39.37007874015748
12325.0,9.860328677622588e-06,-275.59055118110234,1220.4724409448818,-39.37007874015748
12326.0,9.861128704290143e-06,-236.2204724409449,1181.1023622047244,-39.37007874015748
12327.0,9.861928730957698e-06,-236.2204724409449,1181.1023622047244,39.37007874015748
12328.0,9.862728757625253e-06,-196.8503937007874,1181.1023622047244,39.37007874015748
12329.0,9.86352878429281e-06,-236.2204724409449,1181.1023622047244,-39.37007874015748
12330.0,9.864328810960365e-06,-275.59055118110234,1181.1023622047244,-39.37007874015748
12331.0,9.86512883762792e-06,-275.59055118110234,1181.1023622047244,39.37007874015748
12332.0,9.865928864295477e-06,-275.59055118110234,1181.1023622047244,0.0
12333.0,9.866728890963032e-06,-275.59055118110234,1181.1023622047244,0.0
12334.0,9.867528917630587e-06,-236.2204724409449,1102.3622047244094,0.0
12335.0,9.868328944298144e-06,-236.2204724409449,1141.732283464567,0.0
